Ref,Val,Package,PosX,PosY,Rot,Side
"REF**","NPTH","NPTH",87.161933,-84.389000,0.000000,top
"REF**","NPTH","NPTH",96.136200,-62.461000,0.000000,top
"REF**","NPTH","NPTH",86.328600,-109.311000,0.000000,top
"REF**","NPTH","NPTH",116.584732,-109.311000,0.000000,top
"REF**","NPTH","NPTH",45.929533,-109.311000,0.000000,top
"REF**","NPTH","NPTH",74.757443,-48.333100,0.000000,top
"REF**","NPTH","NPTH",105.943799,-85.891000,0.000000,top
"REF**","NPTH","NPTH",84.661933,-62.461000,0.000000,top
"REF**","NPTH","NPTH",56.570466,-107.809000,0.000000,top
"REF**","NPTH","NPTH",74.760556,-51.666432,0.000000,top
"REF**","NPTH","NPTH",76.281000,-120.270233,0.000000,top
"REF**","NPTH","NPTH",84.661933,-109.311000,0.000000,top
"REF**","NPTH","NPTH",115.751399,-62.461000,0.000000,top
"REF**","NPTH","NPTH",95.302866,-109.311000,0.000000,top
"REF**","NPTH","NPTH",107.610466,-84.389000,0.000000,top
"REF**","NPTH","NPTH",74.759777,-121.103099,0.000000,top
"REF**","NPTH","NPTH",105.943799,-62.461000,0.000000,top
"REF**","NPTH","NPTH",117.418066,-62.461000,0.000000,top
"REF**","NPTH","NPTH",87.161933,-85.891000,0.000000,top
"REF**","NPTH","NPTH",86.328600,-84.389000,0.000000,top
"REF**","NPTH","NPTH",44.262866,-109.311000,0.000000,top
"REF**","NPTH","NPTH",63.044732,-84.389000,0.000000,top
"REF**","NPTH","NPTH",53.237133,-60.959000,0.000000,top
"REF**","NPTH","NPTH",65.544732,-85.891000,0.000000,top
"REF**","NPTH","NPTH",114.918066,-62.461000,0.000000,top
"REF**","NPTH","NPTH",76.281000,-96.850233,0.000000,top
"REF**","NPTH","NPTH",97.802866,-60.959000,0.000000,top
"REF**","NPTH","NPTH",45.096200,-107.809000,0.000000,top
"REF**","NPTH","NPTH",54.070466,-107.809000,0.000000,top
"REF**","NPTH","NPTH",33.621933,-84.389000,0.000000,top
"REF**","NPTH","NPTH",107.610466,-85.891000,0.000000,top
"REF**","NPTH","NPTH",95.302866,-85.891000,0.000000,top
"REF**","NPTH","NPTH",63.044732,-60.959000,0.000000,top
"REF**","NPTH","NPTH",66.378066,-85.891000,0.000000,top
"REF**","NPTH","NPTH",74.758999,-96.849766,0.000000,top
"REF**","NPTH","NPTH",76.280222,-96.016900,0.000000,top
"REF**","NPTH","NPTH",63.878066,-62.461000,0.000000,top
"REF**","NPTH","NPTH",74.759777,-50.833099,0.000000,top
"REF**","NPTH","NPTH",76.281778,-121.103566,0.000000,top
"REF**","NPTH","NPTH",36.121933,-107.809000,0.000000,top
"REF**","NPTH","NPTH",66.378066,-62.461000,0.000000,top
"REF**","NPTH","NPTH",65.544732,-109.311000,0.000000,top
"REF**","NPTH","NPTH",76.282556,-51.666899,0.000000,top
"REF**","NPTH","NPTH",66.378066,-107.809000,0.000000,top
"REF**","NPTH","NPTH",104.277133,-109.311000,0.000000,top
"REF**","NPTH","NPTH",76.280222,-49.166900,0.000000,top
"REF**","NPTH","NPTH",56.570466,-62.461000,0.000000,top
"REF**","NPTH","NPTH",76.280222,-119.436900,0.000000,top
"REF**","NPTH","NPTH",87.995267,-62.461000,0.000000,top
"REF**","NPTH","NPTH",74.758999,-73.424766,0.000000,top
"REF**","NPTH","NPTH",94.469533,-109.311000,0.000000,top
"REF**","NPTH","NPTH",63.044732,-85.891000,0.000000,top
"REF**","NPTH","NPTH",114.918066,-60.959000,0.000000,top
"REF**","NPTH","NPTH",85.495267,-84.389000,0.000000,top
"REF**","NPTH","NPTH",117.418066,-84.389000,0.000000,top
"REF**","NPTH","NPTH",96.136200,-84.389000,0.000000,top
"REF**","NPTH","NPTH",106.777133,-107.809000,0.000000,top
"REF**","NPTH","NPTH",86.328600,-85.891000,0.000000,top
"REF**","NPTH","NPTH",97.802866,-107.809000,0.000000,top
"REF**","NPTH","NPTH",85.495267,-107.809000,0.000000,top
"REF**","NPTH","NPTH",44.262866,-62.461000,0.000000,top
"REF**","NPTH","NPTH",76.279443,-118.603567,0.000000,top
"REF**","NPTH","NPTH",76.281000,-73.425233,0.000000,top
"REF**","NPTH","NPTH",44.262866,-84.389000,0.000000,top
"REF**","NPTH","NPTH",116.584732,-62.461000,0.000000,top
"REF**","NPTH","NPTH",115.751399,-60.959000,0.000000,top
"REF**","NPTH","NPTH",105.110466,-107.809000,0.000000,top
"REF**","NPTH","NPTH",66.378066,-60.959000,0.000000,top
"REF**","NPTH","NPTH",36.121933,-62.461000,0.000000,top
"REF**","NPTH","NPTH",106.777133,-62.461000,0.000000,top
"REF**","NPTH","NPTH",56.570466,-60.959000,0.000000,top
"REF**","NPTH","NPTH",84.661933,-84.389000,0.000000,top
"REF**","NPTH","NPTH",45.929533,-62.461000,0.000000,top
"REF**","NPTH","NPTH",33.621933,-60.959000,0.000000,top
"REF**","NPTH","NPTH",53.237133,-109.311000,0.000000,top
"REF**","NPTH","NPTH",43.429533,-85.891000,0.000000,top
"REF**","NPTH","NPTH",54.070466,-62.461000,0.000000,top
"REF**","NPTH","NPTH",74.759777,-74.258099,0.000000,top
"REF**","NPTH","NPTH",35.288600,-85.891000,0.000000,top
"REF**","NPTH","NPTH",115.751399,-84.389000,0.000000,top
"REF**","NPTH","NPTH",85.495267,-62.461000,0.000000,top
"REF**","NPTH","NPTH",97.802866,-62.461000,0.000000,top
"REF**","NPTH","NPTH",114.918066,-85.891000,0.000000,top
"REF**","NPTH","NPTH",87.161933,-109.311000,0.000000,top
"REF**","NPTH","NPTH",105.110466,-84.389000,0.000000,top
"REF**","NPTH","NPTH",105.943799,-107.809000,0.000000,top
"REF**","NPTH","NPTH",36.121933,-85.891000,0.000000,top
"REF**","NPTH","NPTH",74.757443,-118.603100,0.000000,top
"REF**","NPTH","NPTH",74.760555,-75.091433,0.000000,top
"REF**","NPTH","NPTH",97.802866,-109.311000,0.000000,top
"REF**","NPTH","NPTH",87.995267,-85.891000,0.000000,top
"REF**","NPTH","NPTH",117.418066,-107.809000,0.000000,top
"REF**","NPTH","NPTH",64.711399,-85.891000,0.000000,top
"REF**","NPTH","NPTH",54.903799,-60.959000,0.000000,top
"REF**","NPTH","NPTH",45.929533,-85.891000,0.000000,top
"REF**","NPTH","NPTH",86.328600,-62.461000,0.000000,top
"REF**","NPTH","NPTH",66.378066,-109.311000,0.000000,top
"REF**","NPTH","NPTH",94.469533,-62.461000,0.000000,top
"REF**","NPTH","NPTH",54.903799,-107.809000,0.000000,top
"REF**","NPTH","NPTH",74.758221,-96.016433,0.000000,top
"REF**","NPTH","NPTH",96.136200,-85.891000,0.000000,top
"REF**","NPTH","NPTH",35.288600,-107.809000,0.000000,top
"REF**","NPTH","NPTH",116.584732,-85.891000,0.000000,top
"REF**","NPTH","NPTH",44.262866,-107.809000,0.000000,top
"REF**","NPTH","NPTH",33.621933,-107.809000,0.000000,top
"REF**","NPTH","NPTH",97.802866,-85.891000,0.000000,top
"REF**","NPTH","NPTH",45.096200,-85.891000,0.000000,top
"REF**","NPTH","NPTH",104.277133,-60.959000,0.000000,top
"REF**","NPTH","NPTH",76.279443,-95.183567,0.000000,top
"REF**","NPTH","NPTH",35.288600,-84.389000,0.000000,top
"REF**","NPTH","NPTH",104.277133,-84.389000,0.000000,top
"REF**","NPTH","NPTH",54.070466,-109.311000,0.000000,top
"REF**","NPTH","NPTH",74.760556,-98.516432,0.000000,top
"REF**","NPTH","NPTH",65.544732,-60.959000,0.000000,top
"REF**","NPTH","NPTH",76.280222,-72.591900,0.000000,top
"REF**","NPTH","NPTH",114.084732,-84.389000,0.000000,top
"REF**","NPTH","NPTH",44.262866,-60.959000,0.000000,top
